sep=;
name;address;latitude;longitude
"Lungomare d'Ortigia";"";37.056465599999996;15.2951301
"Palazzo Adriano";"";37.6815579;13.379220199999999
"Mondello Beach";"";38.2000633;13.328589299999999
"L'Agorà di Segesta - Sala Ricevimenti";"";37.9479261;12.839030399999999
"Sunset White Wall";"";37.291046;13.473106699999999
"Cementerio";"";36.8639912;14.748769999999999
"Bar gelateria La Sirenetta";"";38.177805299999996;12.733297
"Fuente de Diana";"";37.0612486;15.2938566
"Módica";"97015 Módica, Ragusa, Italia";36.8589716;14.760840499999999
"Valle de los Templos";"";37.2923664;13.593701099999999
"Cefalú";"Cefalú, Palermo, Italia";38.0349976;14.021222
"Isola Bella";"";37.8505475;15.3001048
"Palermo";"Palermo, Italia";38.1156864;13.3614635
"Erice Panorama";"";38.0416599;12.5875358
"Templo de Apolo";"";37.0638837;15.293036599999999
"Templo de Segesta";"";37.941424399999995;12.8323789
"stairs down to sea";"";37.8572053;15.293717
"Grotta La Seggia";"";37.091519999999996;15.2999271
"Basílica de Santa Lucía del Sepulcro";"";37.0730445;15.291226199999999
"Piazza Duomo";"96100 Siracusa, Italia";37.0593903;15.293143899999999
"Porta Carmine";"";38.039961999999996;12.5869193
"Siracusa";"96100 Siracusa, Italia";37.075401299999996;15.2867415
"Erice";"91016 Erice, Trapani, Italia";38.03778;12.5879274
"Teatro de Taormina";"";37.8523175;15.292134299999999
"Antiguo mercado de Ortigia";"";37.0645971;15.2933335
"Spiaggia di Cefalù";"";38.0357333;14.015926799999999
"Catedral de San Jorge";"";36.8639343;14.7614574
"Monreale";"90046 Monreale, Palermo, Italia";38.0807591;13.288089999999999
"Catedral de Cefalú";"";38.0400904;14.023171699999999
"Noto";"96017 Noto, Siracusa, Italia";36.8924433;15.065194499999999
"Ingresso Scala dei Turchi";"";37.2899396;13.473826899999999
"Parque Arqueológico de Segesta";"";37.9417689;12.835728
"Theater of Segesta";"";37.9410989;12.843865099999999
"Passeggio Foro Vittorio Emanuele II";"";37.0599606;15.2919281
"Parque Arqueológico de Neapolis";"";37.0752692;15.2785727
"Trapani-Erice Cableway";"";38.036508399999995;12.5825125
"Stair of the Turks";"";37.2899672;13.472761799999999
"Duomo di San Giorgio";"";36.9266706;14.7426202
"Duomo di San Pietro Apostolo";"";36.8606792;14.760751099999998
"Spiaggia di Calamosche";"";36.824427199999995;15.1058358
"Sentiero per Cala Mancina";"";38.183425799999995;12.725432399999999
"Villa Romana del Casale";"";37.3647239;14.334552299999999
"Riserva naturale orientata Oasi Faunistica di Vendicari";"";36.7986425;15.0929749
"Riserva Naturale Orientata dello Zingaro";"";38.1223635;12.7850634
"Favignana";"Isla Favignana, Trapani, Italia";37.9298834;12.3282875
"Pizzo viewpoint";"";36.8665763;14.7597664
"Isola delle Sirene";"";37.858425;15.3009419
"Cala rossa";"";37.9220325;12.3626303
"Castle of Venus";"";38.035323399999996;12.591744
"Cala Rossa";"";38.187858299999995;12.7272964
"Cala Mancina";"";38.1759081;12.7167566
"Al Sabbione Lido";"";38.1753723;12.7421498
"Santuario di Contrada Mango";"";37.9336207;12.843189599999999
"Parco Archeologico di Cava d'Ispica";"";36.850161;14.837929299999999
"Panorama Città Ragusa";"";36.919588499999996;14.7588159
"Catacumbas de San Juan";"";37.0768637;15.2844024
"Villa Siliqua";"";36.9209575;14.745670299999999
"Punta Cannone";"";37.1102402;15.2820857
"Cave of Pillirina";"";37.0218646;15.3174239
"San Vito Lo Capo";"San Vito Lo Capo, Trapani, Italia";38.1759419;12.7335733
"Cimitero di Ibla";"";36.91974;14.7455635
"Arethusa Spring";"";37.0572976;15.292928199999999
"Santa Maria di Gesu";"";36.8720066;14.7588327
"View Point Scala dei Turchi";"";37.2921519;13.472239
"Grotta dei Cavalli";"";38.167979599999995;12.720106399999999
"Castello Maniace";"";37.0538429;15.2949605
"Cala Rossa";"91030 San Vito Lo Capo, Trapani, Italia";38.1822249;12.7239262
"Belvedere Scala dei Turchi";"";37.2932853;13.470120399999999
"Sicilia";"Italia";37.3979297;14.6587821
"Escursioni Galeone Sultan";"";38.1820735;12.734145199999999
"Fortified Area Medieval Castle";"";37.9403347;12.8438994
"Ibla";"97100 Ragusa, Italia";36.926293199999996;14.744105399999999
